iteration,SMILES,TC,Modulus
1,*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.095,2.053
1,*c1cc(CCCCCCCCCCCCCCCCCCCCCC)c(*)s1,0.397,4.96
1,*c1sc(*)c2sc(CCCCCCCCC)nc12,0.482,5.493
1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C(*)C*,0.085,1.892
2,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=C2C(=O)N(C(=O)C2=C4)C2=CC=CC3=C2C=CC=C3*)C2=C1C=C1OC3=C(OC1=C2)C=C1C(=O)N(*)C(=O)C1=C3,0.176,1.34
2,*C(F)(F)C(*)(F)OC(F)C(F)F,0.096,4.343
2,*CCCCCCCCCCCCCCCCCCCCc1nnc(*)o1,0.398,4.374
2,*N=C1C=CC(=NC2=CC(=O)C(*)=CC2=O)C=C1,0.375,3.904
3,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,0.412,4.788
3,*CC(*)CCCCCCCCCCCCCCCCCCCC,0.402,4.542
3,*C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(=N2)C2=CC=CC(*)=N2)C=C1,0.309,5.478
3,*CC(*)CCCCC,0.258,2.986
4,FC(*)C*,0.161,5.129
4,*CC(*)CCC(C)CC,0.229,3.735
4,*/C=C/C(C)(C)C(*)(C)C,0.232,4.533
4,*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.106,2.864
5,CC(C)CC(C)OC(=O)C(*)C(*)C(=O)OC(C)(C)C,0.168,2.082
5,FC(F)(*)C1(F)OC(F)(F)C(F)(F)C1(F)C(F)(F)*,0.1,1.094
5,*/C=C/C(C)C(*)C,0.186,3.055
5,CC1=C(C)C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(CC(C)(C)C3=CC5=C(C=C23)C(=O)N(*)C5=O)CC4(C)C)=C(C)C(C)=C1*,0.153,2.259
6,*C(F)(F)C(F)(F)C1(F)C(*)(F)OC(F)(F)C1(F)F,0.127,1.09
6,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=CC3=C(C=C2)C(C)(C)CC32CC(C)(C)C3=C2C=C(*)C=C3)C2=CC3=C(C=C12)C(=O)N(*)C3=O,0.166,3.124
6,*CCCC1CC(=O)N(*)C(=O)C1,0.23,4.681
6,CC1=C(C)C(N2C(=O)C3=CC4=C(OC5=CC6=C(C=C5O4)C(C)(C)CC64CC(C)(C)C5=CC6=C(OC7=CC8=C(C=C7O6)C(=O)N(*)C8=O)C=C45)C=C3C2=O)=C(C)C(C)=C1*,0.231,1.31
7,CC1=CC(C)=C(N2C(=O)C3=C(C=C4C(=O)N(*)C(=O)C4=C3)C2=O)C(C)=C1*,0.232,3.639
7,*CC(*)CCCCCCC,0.267,3.522
7,*CCCCCC(*)CCCCCCCCCC,0.408,4.527
7,*CC(*)CCCC,0.231,2.952
8,*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,0.164,6.724
8,*CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](*)(C)C,0.408,5.283
8,CC1=CC2=C(C=C1*)S(=O)(=O)C1=CC(N3C(=O)C4=CC5=C(C=C4C3=O)S(=O)(=O)C3=CC4=C(C=C3S5(=O)=O)C(=O)N(*)C4=O)=C(C)C=C21,0.286,3.588
8,*c1cc(CCCCCCCCCCCCCCCC)c(*)[nH]1,0.474,4.799
9,*CC(*)C(C)CC,0.192,3.54
9,*/C=C/c1cc(CC(CC)CCCC)c(*)cc1CCCC,0.383,5.176
9,*CC(*)CC(C)CC,0.202,2.774
9,*/C=C/C(C*)C(C)CC,0.203,3.52
10,*CC(*)(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.084,1.305
10,*CCCCCC(*)CCCCCC,0.301,4.088
10,*CC(*)OCC(C)(C)CC(C)C,0.225,3.505
10,*CC(*)OC(C)C,0.212,2.539
11,CC(C)CC(C)OC(=O)C(*)C(*)C(=O)OC(C)C,0.146,2.477
11,*CC(*)C(=O)OC(C)CC(C)C,0.207,3.821
11,*CC(*)CCCCCCCC,0.286,3.809
11,*CC(*)CCCCCCCCCCCC,0.339,3.945
12,CC(C)C12C3=C(C=CC=C3)C(C(C)C)(C3=C1C=C1OC4=C(OC1=C3)C=C1C(=O)N(*)C(=O)C1=C4)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=C(C)C2=C(C=C1C)C1C3=C(C=CC=C3)C2C2=C1C=C(C)C(*)=C2C,0.205,3.264
12,FC(F)(F)C1(C(*)CC(\C=C\*)C1(F)F)C(F)(F)F,0.132,3.293
12,*Cc1cc(*)c(N)c(C)c1N,0.216,7.029
12,*CC(*)C(=O)N(C(C)C)C(C)C,0.187,3.392
13,*CCCCCCCC(*)C,0.371,4.406
13,CC1=CC(=CC(C)=C1*)C1=CC(C)=C(N2C(=O)C3=CC4=C(C=C3C2=O)S(=O)(=O)C2=CC3=C(C=C2S4(=O)=O)C(=O)N(*)C3=O)C(C)=C1,0.296,5.458
13,*c1ccc2c(c1)SC1=Nc3cc(-c4ccc5c(c4)N=C4Sc6cc(*)ccc6N=C4N5)ccc3NC1=N2,0.506,2.865
13,CC(C)CC(*)C*,0.188,3.208
14,*CC(*)(C)C(=O)OCC1(C)COC(C)(C)OC1,0.153,4.995
14,*CC(*)n1cncn1,0.193,5.017
14,CC(C)OC(=O)C(*)C(*)C(=O)OC(C)(C)C,0.142,2.333
14,*CC(*)CC(C)(C)C,0.179,1.814
15,*CCN(*)C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.122,2.534
15,*c1sc(*)c2c1OCC(CCCCCCCCCCCCCCCC)O2,0.453,4.937
15,*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,0.112,2.852
15,*CC(*)CCC(C)C,0.216,3.28
16,*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,0.122,6.185
16,*CC(*)C1CC=CCC1,0.181,1.807
16,*CC(*)CCCCCCCCC,0.319,3.934
